id,question,answer,category,state,tags,priority,difficulty,personas,source
1125,What about cost_comparison?,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1126,Tell me about cost_comparison,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1127,Florida Contractor License Classes and Requirements,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1128,What about florida?,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1129,Tell me about florida,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1130,How does florida work?,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1131,florida information,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1132,I need help with florida,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1133,What about certified_registered?,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1134,Tell me about certified_registered,"Florida offers Certified (statewide operation) and Registered (limited jurisdictions) licenses. Division 1 contractors need 4 years experience (1 year as foreman/salaried), up to 3 years credit for bachelor's in construction management/architecture/engineering. Three exams required: Business & Finance, Contract Administration, Project Management (70% passing). Financial stability: 660+ credit score or surety bond. Insurance: $100K general liability, $25K property damage minimum. This information is time-sensitive.",state_licensing_requirements,FL,"florida,certified_registered,division_1,4_years_experience,three_exams,660_credit_score",normal,intermediate,"confused_newcomer,urgent_operator",state_requirements_complete.json - FL section
1135,Military and Veteran License Considerations,"Utah accepts military service as experience alternative for licensing requirements. Arizona offers universal recognition for military spouses with automatic license recognition from other states, reducing timeline from 90-120 days to 30 days effective January 2024. Many states provide expedited processing for veterans and military spouses. Military experience often qualifies toward construction experience requirements depending on MOS and duties performed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",special_circumstances,,"military_veterans,utah_military_credit,arizona_spouse_recognition,expedited_processing,mos_experience",normal,basic,"confused_newcomer,urgent_operator",state_requirements_complete.json and regulatory_updates_database.json
